Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
26,2.0,0.0,0.0,1944.0,4.0,500.0,11625.0,0.0,400.0,0.0,0.0,1920.0931901931763,,,,,,,,,,,,,,,,,,,,,167.55683303842966,86.92251011181416,316.5381216023873,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.0,0.0,0.0,2410.0,5.0,466.0,12091.0,0.0,345.00000000000045,0.0,0.0,1951.9293336868286,,,,,,,,,,,,,,,,,,,,,142.09875843423063,77.88421325293511,279.06103960925753,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0,0.0,0.0,2903.0,6.0,493.0,12584.0,0.0,381.09999999999974,0.0,0.0,1986.0442185401917,,,,,,,,,,,,,,,,,,,,,160.6459837083405,84.1148136375028,302.20373376555364,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,0.0,0.0,3360.0,7.0,457.0,13041.0,0.0,351.10000000000036,0.0,0.0,2017.4497773647308,,,,,,,,,,,,,,,,,,,,,143.32245631150982,80.43383358699523,285.8875249906307,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.0,0.0,0.0,3835.0,8.0,475.0,13516.0,0.0,358.31100000000004,0.0,0.0,2050.0995650291443,,,,,,,,,,,,,,,,,,,,,144.80227257508164,87.98511504382462,289.81974026710344,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,0.0,0.0,4274.0,9.0,439.0,13955.0,0.0,331.69999999999993,0.0,0.0,2080.205801010132,,,,,,,,,,,,,,,,,,,,,147.1261066117432,75.49092564974255,267.3790182156604,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3.0,0.0,0.0,0.0,0.0,331.0,14286.0,0.0,235.80600000000004,0.0,0.0,2651.643047094345,,,,,,,,,9.774435,0.919435,11.996292,8.805682,,,,,139.2164,81.14034,426.03015,22.371273,111.10930567528077,63.908598393140544,199.2280478693514,0.001,0.49908602,0.0,0.49908602,0.49908602,-1.2343847743932251e-17,1.0,4.045666809528711,-6.9240606333871915,201.72156,19.081028,231.60283,30.70023,9.820566,0.87857884,11.930197,8.881354,-0.04044496,0.042709406,0.07298031,-0.0716238,204.2985867713865,36.97213471147283,235.8884986929386,0.0009999999999976694,0.31553736,0.0,0.31553736,0.31553736,1.2295648,1.8801361,107.975235,2.1804414e-08,1.0164496,0.14381114,1.2,0.8
33,3.0,0.0,0.0,480.0,1.0,480.0,14766.0,0.0,393.29999999999995,0.0,0.0,2710.0230000019073,,,,,,,,,,,,,,,,,,,,,170.55744961977533,87.16119231791025,311.7441683508585,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3.0,0.0,0.0,502.0,2.0,22.0,14788.0,0.0,9.604999999999995,0.0,0.0,2711.7997963428497,,,,,,,,,,,,,,,,,,,,,2.5273631168471664,3.060380468527289,9.55895696839776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.0,0.0,0.0,980.0,3.0,478.0,15266.0,0.0,399.5,0.0,0.0,2744.4528572559357,,,,,,,,,,,,,,,,,,,,,168.20262200867762,91.52906903362762,319.41856524509694,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
